feature_code,question,value
S12000028,My council does its best with the money available,30
S12000040,My council does its best with the money available,58
S12000020,My council does its best with the money available,43
S12000047,My council does its best with the money available,46
S12000033,My council does its best with the money available,30
S12000038,My council does its best with the money available,45
S12000029,My council does its best with the money available,39
S12000030,My council does its best with the money available,45
S12000023,My council does its best with the money available,36
S12000050,My council does its best with the money available,41
S12000018,My council does its best with the money available,32
S12000017,My council does its best with the money available,40
S12000014,My council does its best with the money available,44
S12000019,My council does its best with the money available,44
S12000049,My council does its best with the money available,40
S12000005,My council is good at communicating performance,45
S12000008,My council is good at communicating performance,40
S12000006,My council is good at communicating performance,45
S92000003,My council is good at communicating performance,41
S12000034,My council is good at communicating performance,30
S12000033,My council is good at communicating performance,31
S12000039,My council is good at communicating performance,32
S12000040,My council is good at communicating performance,61
S12000048,My council is good at communicating performance,48
S12000041,My council is good at communicating performance,42
S12000035,My council is good at communicating performance,36
S12000042,My council is good at communicating performance,36
S12000013,My council is good at communicating performance,46
S12000014,My council is good at communicating performance,42
S12000045,My council is good at communicating performance,31
S12000047,My council is good at communicating performance,49
S12000019,My council is good at communicating performance,48
S12000010,My council is good at communicating performance,66
S12000023,My council is good at communicating performance,51
S12000018,My council is good at communicating performance,36
S12000020,My council is good at communicating performance,36
S12000050,My council is good at communicating performance,42
S12000029,My council is good at communicating performance,47
S12000028,My council is good at communicating performance,30
S12000011,My council is good at communicating performance,50
S12000021,My council is good at communicating performance,47
S12000038,My council is good at communicating performance,53
S12000049,My council is good at communicating performance,32
S12000036,My council is good at communicating performance,37
S12000026,My council is good at communicating performance,41
S12000027,My council is good at communicating performance,42
S12000030,My council is good at communicating performance,48
S12000017,My council is good at communicating performance,35
S12000050,My council is good at communicating services,45
S12000014,My council is good at communicating services,46
S12000017,My council is good at communicating services,42
S12000008,My council is good at communicating services,44
S12000049,My council is good at communicating services,40
S12000041,My council is good at communicating services,44
S12000030,My council is good at communicating services,55
S12000038,My council is good at communicating services,58
S12000033,My council is good at communicating services,43
S12000036,My council is good at communicating services,49
S12000039,My council is good at communicating services,39
S12000035,My council is good at communicating services,34
S12000034,My council is good at communicating services,38
S12000020,My council is good at communicating services,51
S12000027,My council is good at communicating services,61
S12000006,My council is good at communicating services,46
S12000018,My council is good at communicating services,38
S12000040,My council is good at communicating services,64
S12000048,My council is good at communicating services,62
S12000005,My council is good at communicating services,51
S12000042,My council is good at communicating services,40
S92000003,My council is good at communicating services,48
S12000013,My council is good at communicating services,57
S12000045,My council is good at communicating services,44
S12000026,My council is good at communicating services,46
S12000023,My council is good at communicating services,62
S12000021,My council is good at communicating services,49
S12000028,My council is good at communicating services,39
S12000010,My council is good at communicating services,78
S12000029,My council is good at communicating services,51
S12000011,My council is good at communicating services,52
S12000019,My council is good at communicating services,52
S12000047,My council is good at communicating services,54
S12000020,My council is good at listening,25
S12000018,My council is good at listening,19
S12000006,My council is good at listening,27
S12000010,My council is good at listening,26
S12000013,My council is good at listening,24
S12000017,My council is good at listening,21
S12000008,My council is good at listening,18
S12000005,My council is good at listening,28
S12000011,My council is good at listening,24
S12000047,My council is good at listening,33
S12000050,My council is good at listening,24
S12000030,My council is good at listening,27
S12000034,My council is good at listening,21
S92000003,My council is good at listening,25
S12000048,My council is good at listening,34
S12000036,My council is good at listening,20
S12000014,My council is good at listening,22
S12000019,My council is good at listening,31
S12000049,My council is good at listening,25
S12000040,My council is good at listening,33
S12000038,My council is good at listening,21
S12000021,My council is good at listening,36
S12000027,My council is good at listening,19
S12000028,My council is good at listening,22
S12000026,My council is good at listening,29
S12000023,My council is good at listening,20
S12000035,My council is good at listening,30
S12000033,My council is good at listening,16
S12000029,My council is good at listening,27
S12000039,My council is good at listening,15
S12000045,My council is good at listening,18
S12000041,My council is good at listening,27
S12000042,My council is good at listening,23
S12000050,My council provides high quality services,43
S12000047,My council provides high quality services,48
S92000003,My council provides high quality services,44
S12000021,My council provides high quality services,45
S12000040,My council provides high quality services,55
S12000026,My council provides high quality services,51
S12000039,My council provides high quality services,34
S12000030,My council provides high quality services,56
S12000035,My council provides high quality services,34
S12000010,My council provides high quality services,70
S12000019,My council provides high quality services,48
S12000020,My council provides high quality services,46
S12000029,My council provides high quality services,43
S12000005,My council provides high quality services,49
S12000042,My council provides high quality services,40
S12000041,My council provides high quality services,48
S12000023,My council provides high quality services,54
S12000036,My council provides high quality services,44
S12000048,My council provides high quality services,56
S12000027,My council provides high quality services,65
S12000038,My council provides high quality services,42
S12000033,My council provides high quality services,34
S12000034,My council provides high quality services,34
S12000028,My council provides high quality services,29
S12000008,My council provides high quality services,40
S12000006,My council provides high quality services,35
S12000018,My council provides high quality services,37
S12000017,My council provides high quality services,39
S12000045,My council provides high quality services,55
S12000014,My council provides high quality services,44
S12000013,My council provides high quality services,51
S12000049,My council provides high quality services,43
S12000011,My council provides high quality services,51
